"","Handybetriebssystem","Bildschimzeit_in_Minuten","Shoppingverhalten","Lieblingsfach","Sport_in_Stunden","Kleidergroesse"
"125","iOS",200,"online","Philosophie",12,"L"
"126","iOS",200,"online","Englisch",7,"S"
"127","iOS",240,"offline","Englisch",3,"S"
"128","iOS",10,"online","Italienisch",2,"S"
"129","Android",180,"offline","Englisch",2,"S"
"130","iOS",300,"online","Englisch",3,"L"
"131","iOS",240,"online","Wirtschaft und Recht",5,"M"
"132","iOS",249,"online","Sport",12,"XL"
"133","iOS",180,"offline","Wirtschaft",2,"S"
"134","iOS",240,"online","BG",2,"S"
"135","iOS",420,"offline","Sport und WR",10,"L"
"136","iOS",264,"online","Franzoesisch",3,"S"
"137","iOS",335,"online","Englisch",3,"M"
"138","iOS",180,"offline","Deutsch",4,"M"
"139","iOS",300,"offline","Wirtschaft",2,"XL"
"140","iOS",480,"online","Chemie",0,"M"
"141","iOS",300,"online","Geschichte",1,"S"
"142","iOS",180,"offline","spanisch",5,"M"
"143","iOS",200,"offline","English",7,"M"
"144","iOS",190,"online","Geschichte",3,"M"
"145","iOS",240,"offline","Geschichte",5,"M"
"146","Android",150,"offline","Biologie",3,"M"
"147","Android",240,"online","Geschichte",3,"M"
"148","iOS",240,"online","Wirtschaft und Recht",2,"L"
"149","iOS",250,"offline","Mathematik",6,"L"
"150","iOS",350,"online","Sport",12,"M"
"151","iOS",120,"online","Mathematik",0,"M"
"152","iOS",500,"offline","Sport",19,"L"
"153","iOS",240,"offline","Wirtschaft",14,"L"
"154","iOS",200,"offline","Geschichte",3,"M"
"155","iOS",240,"offline","Sport",7,"M"
"156","iOS",270,"online","Englisch",5,"L"
"157","iOS",140,"online","Rätoromanisch",2,"M"
"158","iOS",180,"online","Geschichte",4,"S"
"159","iOS",150,"offline","Deutsch",2,"S"
"160","iOS",240,"online","Englisch",1,"L"
"161","iOS",300,"offline","WR",10,"M"
"162","iOS",300,"online","Wirtschaft",14,"M"
"163","iOS",300,"online","SWIR",4,"M"
"164","Android",360,"offline","Englisch",3,"M"
"165","iOS",219,"online","WR",4,"XL"
"166","iOS",240,"offline","Sport",6,"S"
"167","iOS",360,"online","Englisch",0,"S"
"168","iOS",240,"online","Biologie",4,"M"
"169","iOS",280,"online","Sport",8,"L"
"170","iOS",180,"offline","(Bio-)Chemie",6,"S"
"171","iOS",10,"online","Geschichte",2,"M"
"172","iOS",120,"offline","Geschichte",6,"S"
"173","iOS",300,"online","Sport",7,"L"
"174","iOS",240,"online","WR",6,"S"
"175","iOS",260,"online","VWL",11,"L"
"176","iOS",150,"online","SF Bio Chemie",12,"S"
"177","iOS",240,"offline","Sport",10,"M"
"178","iOS",360,"online","Sport",6,"M"
"179","Android",300,"offline","Englisch",3,"XS"
"180","iOS",300,"online","Sport",200,"L"
"181","iOS",300,"online","Sport",6,"L"
"182","iOS",3,"online","Biologie",2,"S"
"183","iOS",240,"online","Sport",5,"M"
"184","iOS",250,"online","Mathematik",3,"S"
"185","iOS",180,"offline","Bildnerisches Gestalten",1.5,"M"
"186","iOS",360,"online","English",0,"L"
"187","iOS",294,"online","Franzoesisch",3,"M"
"188","iOS",120,"offline","Psychologie",2,"S"
"189","iOS",180,"offline","Bildnerisches Gestalten",1.5,"XS"
"190","iOS",234,"offline","Wirtschaft",3,"M"
"191","iOS",200,"offline","Geo",3,"S"
"192","iOS",300,"offline","Sport",7,"M"
"193","iOS",240,"online","Mathematik",4,"M"
"194","Android",300,"offline","Geografie",1,"L"
"195","iOS",240,"online","Geschichte",3,"S"
"196","iOS",360,"online","Psychologie",2,"L"
"197","iOS",400,"online","GESCHICHTE",3,"M"
"198","iOS",240,"online","Englisch",0,"XL"
"199","iOS",180,"offline","Deutsch",5,"S"
"200","iOS",660,"online","deutsch",6,"M"
"201","iOS",160,"offline","Philosophie",3,"S"
"202","iOS",180,"offline","Englisch",0,"S"
"203","Android",120,"offline","Psychologie",2,"M"
"204","iOS",200,"online","VWL",8,"L"
"205","Android",420,"online","sport",0,"L"
"206","iOS",300,"online","Mathematik",2,"S"
"207","iOS",300,"offline","Geschichte",4,"M"
"208","iOS",300,"online","Sport",3,"M"
"209","iOS",531,"offline","Englisch",1,"S"
"210","iOS",120,"online","Mathematik",1,"L"
"211","Android",840,"offline","Englisch",8,"S"
"212","iOS",440,"online","Sport",8,"L"
"213","iOS",258,"online","Mathematik",4,"XS"
"214","iOS",3,"online","Musik",1,"S"
"215","iOS",150,"online","Sport",10,"L"
"216","Android",60,"online","Geschichte",5,"L"
"217","iOS",300,"online","Physik",1,"M"
"218","iOS",400,"online","WR",11,"L"
"219","iOS",300,"offline","Geschichte",6,"S"
"220","iOS",240,"online","Sport",7.5,"M"
"221","Android",80,"offline","WR",20,"L"
"222","iOS",2400,"online","Biologie",12,"XS"
"223","iOS",300,"online","Sport",4,"S"
"224","iOS",240,"online","Philosophie",4,"M"
"225","iOS",300,"offline","Philosophie",4,"M"
"226","iOS",140,"online","Italienisch",5,"M"
"227","iOS",4,"online","Theater",1,"M"
"228","iOS",300,"offline","sport",6,"M"
"229","iOS",180,"online","Sport",6,"L"
"230","iOS",240,"online","Art",7,"S"
"231","iOS",350,"online","Mathematik",3,"S"
"232","iOS",360,"online","Math",5,"M"
"233","iOS",4,"offline","Geschichte",12,"S"
"234","Android",120,"offline","Bildnerisches gestalten",1,"M"
"235","iOS",360,"offline","Sport",10,"M"
"236","iOS",180,"offline","Bildnerisches Gestalten",6,"XS"
"237","iOS",300,"offline","Englisch",2,"XS"
"238","iOS",150,"online","Geschichte",0.5,"L"
"239","iOS",90,"offline","Englisch",3,"M"
"240","Android",240,"offline","Politische Bildung",3,"M"
"241","iOS",303,"online","Sport",4,"M"
"242","Android",600,"offline","Wirtschaft",2,"XS"
"243","Android",360,"online","Musik",4,"L"
"244","iOS",120,"online","Sport",4,"S"
"245","iOS",180,"online","Sport",7,"S"
"246","iOS",210,"online","Kunst",3.5,"XS"
"247","Android",120,"online","Geschichte",0,"L"
"248","iOS",260,"offline","Wirtschaft",10,"M"
"249","iOS",7,"online","Wirtschaft",8,"M"
"250","iOS",360,"online","Wirtschaft und Recht",8,"L"
"251","iOS",300,"offline","Mathematik",8,"L"
"252","iOS",5,"offline","Deutsch",10,"L"
"253","iOS",180,"offline","Mathe",3,"M"
"254","iOS",360,"offline","Franzoesisch",0.5,"M"
"255","iOS",200,"online","Deutsch",3,"S"
"256","iOS",180,"offline","Musik",2,"S"
"257","iOS",3.55,"offline","Wirtschaft und Recht",4,"S"
"258","iOS",187,"online","Musik",6,"M"
"259","iOS",240,"online","BG",7,"S"
"260","iOS",60,"offline","Geschichte",3,"M"
"261","iOS",300,"online","mathematik",10,"M"
"262","iOS",240,"online","Mathematik",10,"M"
"263","iOS",150,"online","Sport",13,"L"
"264","iOS",180,"offline","Musik",0.5,"S"
"265","iOS",120,"offline","Psychologie",6,"M"
"266","iOS",240,"online","Musik",2,"M"
"267","iOS",150,"online","Sport",4.5,"M"
"268","Android",120,"offline","Sport",6,"S"
"269","iOS",500,"online","Geschichte",0,"L"
"270","iOS",300,"offline","Mathematik",6,"L"
"271","iOS",60,"online","Mathe",3,"S"
"272","iOS",240,"online","Sport",4,"L"
"273","Android",240,"offline","Englisch",16,"M"
"274","iOS",328,"offline","Chemie",22,"L"
"275","iOS",220,"offline","hatte keins",12,"XS"
"276","iOS",64,"offline","Chemie",0.5,"XL"
"277","iOS",270,"online","Wirtschaft & Recht",8,"L"
"278","iOS",6,"online","Sport",12,"XL"
"279","iOS",360,"online","Philosophie",1,"M"
"280","Android",300,"online","Englisch, Mathematik",3,"XL"
