"","Handybetriebssystem","Bildschimzeit_in_Minuten","Shoppingverhalten","Lieblingsfach","Sport_in_Stunden","Kleidergroesse"
"89","iOS",180,"offline","Biologie",7,"S"
"90","iOS",119,"online","Englisch",6,"L"
"91","iOS",136,"offline","Geschichte",1,"XS"
"92","iOS",240,"offline","Geografie",3,"S"
"93","iOS",360,"offline","Bildnerisches Gestalten",3,"M"
"94","iOS",180,"offline","Sport",6,"L"
"95","iOS",493,"online","Geschichte",3,"L"
"96","iOS",5,"online","Geschichte",4,"M"
"97","iOS",250,"online","Französisch",4,"XS"
"98","Android",120,"offline","Sport",7,"M"
"99","iOS",360,"online","WR",1,"S"
"100","iOS",3,"online","Englisch",3,"L"
"101","Android",250,"offline","Geschichte",6,"M"
"102","iOS",150,"offline","Geschichte",7,"M"
"103","iOS",180,"offline","Englisch",3,"S"
"104","iOS",410,"offline","Italienisch",0,"M"
"105","iOS",300,"offline","Geschichte",5,"M"
"106","iOS",180,"offline","Englisch",3,"S"
"107","iOS",300,"online","WR",5,"M"
"108","iOS",240,"online","Wirtschaft",2,"M"
"109","Android",30,"online","Biologie und Chemie",9,"XS"
"110","iOS",150,"offline","Englisch",10,"XS"
"111","iOS",120,"offline","Religion, Psychologie",4,"M"
"112","iOS",180,"online","Sport",10,"L"
"113","Android",200,"offline","englisch",25,"M"
"114","iOS",290,"online","Mathematik",4,"L"
"115","Android",213,"online","Philosophie",1,"M"
"116","iOS",360,"offline","Chemie",6,"L"
"117","iOS",300,"offline","Wirtschaft und Recht",8,"S"
"118","iOS",240,"online","Sport",8,"S"
"119","iOS",240,"offline","Sport",2,"M"
"120","iOS",180,"online","Mathematik",2,"S"
"121","iOS",240,"offline","Sport",3,"XL"
"122","iOS",150,"online","Sport",8,"M"
"123","Android",217,"online","Deutsch",3,"S"
"124","iOS",200,"online","Psychologie",1,"XS"
"125","iOS",NA,NA,NA,NA,NA
"126","iOS",200,"online","Geschichte",4.5,"M"
"127","iOS",330,"offline","Bildnerisches Gestalten",0,"XS"
"128","iOS",150,"offline","Wirtschaft",8,"M"
"129","Android",200,"offline","Musik",5,"L"
"130","iOS",90,"offline","Französisch",3,"M"
"131","iOS",480,"online","sport",14,"L"
"132","iOS",163,"offline","Geschichte",2,"M"
"133","Android",150,"online","WR",3,"S"
"134","iOS",180,"offline","Sport",12,"M"
"135","Android",180,"online","Deutsch",0.5,"S"
"136","iOS",160,"offline","Sport",6,"S"
"137","Android",120,"offline","English",5,"M"
"138","Android",300,"online","Geschichte und Wirtschaft",4,"M"
"139","iOS",240,"online","Psychologie",1,"M"
"140","iOS",180,"offline","Sport",12,"L"
"141","iOS",180,"offline","Französich",5,"M"
"142","iOS",360,"online","WR",1,"S"
"143","iOS",300,"offline","Biologie",0,"L"
"144","iOS",200,"offline","Sport",5,"M"
"145","Android",360,"online","Deutsch",3,"M"
"146","iOS",350,"online","Englisch",2,"M"
"147","iOS",140,"online","Englisch",0,"S"
"148","iOS",240,"offline","Wirtschaft & Recht",2,"S"
"149","iOS",180,"online","Deutsch",3,"L"
"150","Android",180,"offline","Deutsch",6,"S"
"151","iOS",120,"offline","Mathematik",4,"XS"
"152","Android",180,"offline","Geschichte",10,"M"
"153","iOS",360,"offline","Wirtschaft und Recht",2,"S"
"154","iOS",120,"offline","Psychologie",4,"S"
"155","Android",NA,NA,NA,NA,NA
"156","iOS",114,"offline","Sport",1,"S"
"157","Android",360,"offline","Englisch",5,"L"
"158","iOS",420,"offline","Geschichte",3,"S"
"159","Android",168,"offline","Französisch",1,"S"
"160","iOS",170,"offline","Englisch",1,"M"
"161","iOS",135,"offline","Sport",10,"S"
"162","iOS",160,"online","Geografie",5,"S"
"163","iOS",240,"offline","Geschichte",2,"M"
"164","iOS",150,"online","Sport",12,"L"
"165","iOS",330,"online","Sport",6,"L"
"166","iOS",150,"offline","Philosophie",3,"M"
"167","iOS",195,"offline","Geschichte",4,"M"
"168","iOS",240,"online","Spanisch",3,"S"
"169","iOS",240,"online","Geschichte",5,"M"
"170","iOS",300,"offline","Englisch",7,"M"
"171","iOS",180,"offline","geschichte",7,"M"
"172","iOS",115,"online","Wirtschaft und Recht",6,"S"
"173","iOS",146,"online","Sport",12,"L"
"174","iOS",240,"online","Sport",4.5,"L"
"175","iOS",315.6,"offline","sport, geschichte, Wirtschaft,",4,"S"
"176","iOS",223,"online","Mathematik",25,"M"
"177","iOS",300,"offline","Englisch",1,"S"
"178","iOS",240,"offline","Sport",2,"XL"
"179","iOS",146,"offline","BG",2,"M"
"180","iOS",300,"online","Sport",5,"XL"
"181","iOS",0,"online","gar keins",0,"M"
"182","iOS",630,"online","astrophysik",1,"M"
"183","iOS",210,"offline","Sport",4.5,"L"
"184","iOS",360,"offline","Sport",6,"L"
"185","iOS",120,"offline","Chemie",6,"M"
"186","iOS",180,"online","Geschichte",6,"M"
"187","iOS",185,"online","Englisch",3,"M"
"188","iOS",180,"offline","Mathematik",2,"M"
"189","iOS",200,"offline","Sport",8,"XS"
"190","Android",180,"offline","Sport",5,"M"
"191","Android",42,"online","Sport",4,"L"
"192","iOS",7.5,"offline","Sport",20,"M"
"193","iOS",540,"online","Psychologie",8,"M"
"194","iOS",360,"online","Biologie",3,"S"
"195","Android",1.5,"offline","Deutsch",1.5,"S"
"196","Android",240,"offline","Wirtschaft und Recht",5,"M"
"197","iOS",380,"online","Wiertschaft und Recht",3,"M"
"198","iOS",60,"offline","Sport",4,"S"
"199","Android",120,"online","Geschichte",0,"XL"
"200","Android",411,"offline","Musik",4,"S"
"201","iOS",4.38,"online","Informatik",1,"XS"
"202","iOS",200,"offline","Sport",10,"L"
"203","iOS",1.5,"offline","Musik",4,"S"
"204","iOS",180,"online","Sport, Geschichte",5,"M"
"205","iOS",210,"offline","Spanisch",5,"S"
"206","Android",360,"offline","Englisch",4,"M"
"207","iOS",130,"offline","Sport",6,"M"
"208","iOS",180,"offline","Sport",14,"M"
"209","iOS",NA,NA,NA,NA,NA
"210","iOS",69,"online","Math",1,"XS"
"211","Android",90,"online","Geschichte",6,"M"
"212","iOS",240,"offline","Mathematik",2,"S"
"213","iOS",190,"offline","Geografie",7,"M"
"214","Android",130,"offline","WR",6,"S"
"215","iOS",300,"offline","Mathematik",12,"M"
"216","iOS",240,"online","Wirtschaft und Recht",2,"M"
"217","iOS",60,"online","BG",0,"XS"
"218","iOS",360,"online","Sport",5,"L"
"219","Android",270,"offline","Geschichte",3,"M"
"220","iOS",250,"online","Geschichte und Recht",2,"S"
"221","Android",2,"online","Sport",4,"S"
"222","iOS",113,"offline","keines",2,"XL"
"223","iOS",120,"offline","Mathematik",4,"M"
"224","iOS",180,"offline","Geographie",6,"M"
"225","Android",180,"offline","Geschichte",1,"S"
"226","iOS",240,"offline","Sport",10,"L"
"227","Android",120,"offline","Geographie",7,"S"
"228","iOS",200,"offline","Physik",3,"L"
"229","iOS",138,"offline","Bildnerisches Gestalten",2,"M"
"230","iOS",300,"offline","Philosophie",6,"S"
"231","iOS",240,"online","Sport",7,"M"
"232","iOS",120,"offline","Psychologie",2,"S"
"233","iOS",90,"offline","Mathe",2,"L"
"234","iOS",240,"online","Sport",7,"M"
"235","iOS",5.3,"online","Englisch",2,"M"
"236","iOS",200,"online","Sport",6,"M"
"237","iOS",300,"offline","Musik",2,"S"
"238","iOS",285,"online","Mathematik",6,"M"
"239","iOS",500,"offline","English",8,"XL"
"240","iOS",120,"offline","Musik",60,"M"
"241","iOS",240,"online","sport",8,"L"
"242","iOS",120,"online","Chemie",3,"L"
"243","iOS",300,"online","Sport",2,"XL"
"244","iOS",200,"offline","Geschichte",5,"S"
"245","iOS",180,"offline","Sport",7,"S"
"246","iOS",183,"online","Englisch",0,"S"
"247","Android",300,"online","Sport",5,"XL"
"248","iOS",320,"offline","Philosophie",8,"XL"
"249","iOS",200,"offline","BG",4,"S"
"250","iOS",300,"online","Geschichte",8,"M"
"251","iOS",420,"online","Wirtschaft und Recht",4,"XL"
"252","iOS",NA,NA,NA,NA,NA
"253","iOS",200,"offline","BWL",5,"L"
"254","iOS",400,"offline","Geschichte",6,"M"
"255","iOS",191,"online","Psychologie",2,"S"
"256","iOS",180,"offline","Spanisch",13,"XL"
"257","iOS",180,"online","Bildnerisches Gestalten",4,"M"
"258","iOS",3,"offline","Schwerpunktfach Musik",10,"L"
"259","iOS",180,"offline","Sport",8,"S"
"260","iOS",900,"online","Biologie",2,"M"
"261","iOS",240,"offline","Geschichte",1,"M"
"262","iOS",NA,NA,NA,NA,NA
"263","iOS",300,"online","Musik",3,"S"
"264","iOS",396,"online","Latein",2,"XS"
"265","Android",6,"offline","Mein Lieblingsfach war Fremdsprache.",3,"XS"
"266","iOS",200,"online","Wirtschaft",2,"S"
"267","Android",180,"offline","Geschichte",5,"M"
"268","iOS",240,"offline","Chemie",8,"M"
"269","iOS",NA,NA,NA,NA,NA
"270","Android",150,"online","Geschichte",7.5,"S"
"271","iOS",150,"offline","sport",8,"L"
"272",NA,NA,NA,NA,NA,NA
"273","iOS",240,"online","Sport",10,"L"
"274","iOS",240,"offline","math",12,"L"
"275","iOS",222,"offline","Philosophie",3,"M"
"276","Android",125,"offline","Wirtschaft und Recht",14,"L"
"277","iOS",240,"online","Sport",12,"L"
"278","iOS",300,"online","Wirtschaft und Recht",4,"L"
"279","iOS",300,"online","Math",14,"M"
"280","iOS",215,"online","Englisch",4,"L"
"281","iOS",200,"offline","Philosophie",2,"XS"
"282","iOS",190,"offline","Chemie",22,"L"
"283","Android",300,"offline","Anwendungen der Mathematik",0,"L"
"284","iOS",120,"online","Sport",5,"S"
"285",NA,NA,NA,NA,NA,NA
"286","iOS",100,"online","Mathe",10,"M"
"287","iOS",240,"offline","Wirtschaft und Recht",5,"S"
"288","Android",100,"online","Mathe",2,"S"
"289","iOS",180,"offline","Deutsch",5,"S"
"290","iOS",150,"offline","Biologie",5,"S"
"291","iOS",240,"offline","Kunst",3,"S"
